agg_close_pos,agg_last10_quote_share,agg_last10_ret,agg_last10_sell_ratio,agg_low_sec_frac,agg_quote,agg_rebound_from_low,agg_ret,agg_sell_ratio,agg_trades,entry_iso,entry_time,family,mae_pct,mfe_pct,pnl_pct,rule,symbol,win
0.06512301013024714,0.11796075266389591,-0.00023739811664158506,0.5663924003838605,0.864406779661017,244675.48255000054,0.0011886837308821008,-0.014662299173295867,0.6550904988089491,3213.0,2026-06-14T19:31:59+08:00,1781436719999,post_pump,0.028125164898950006,0.015730939300549585,-0.02636384482447438,robust_post_pump_red_sell_1m,ALLOUSDT,0
0.189781021897813,0.18783726189605318,-0.007013301088270807,0.644029796052102,0.9661016949152542,656414.2216800002,0.0063725490196080425,-0.017233125897558654,0.6232205033629358,2075.0,2026-06-14T21:45:59+08:00,1781444759999,post_pump,0.01402825133950314,0.07094418362024002,0.05954077586162367,robust_post_pump_red_sell_1m,VELVETUSDT,1
0.29333333333333145,0.07873493586874845,0.001655286571487613,0.47876333008367045,0.7457627118644068,887381.9357199988,0.009172399416301769,-0.019445007089325617,0.6294716764397287,2620.0,2026-06-19T11:48:59+08:00,1781840939999,post_pump,0.03143620299979455,0.022693843244379064,-0.029926213592232995,robust_post_pump_red_sell_1m,VELVETUSDT,0
0.160493827160494,0.27213312709324866,-0.0037450633256161936,0.645850128964442,0.9152542372881356,187792.9538599999,0.004014410705095228,-0.012386513213405781,0.5850966678010382,4708.0,2026-06-02T15:05:59+08:00,1780383959999,momentum_dump,0.03195270316451371,0.016253386122108804,-0.029926213592233106,robust_momentum_uptrend_dump_1m,BSBUSDT,0
0.5419790104947529,0.12804093142539796,0.010517894538695005,0.27879386140707085,0.4067796610169492,1050706.6974000002,0.03484337349397593,-0.019632013879377297,0.5400763149642016,24684.0,2026-06-19T03:25:59+08:00,1781810759999,downtrend_continuation,0.032585686083295595,0.009532728233203835,-0.028037354085603126,robust_downtrend_range_flush_1m,BSBUSDT,0
0.08880994671403211,0.6798352856710159,-0.020241571542341408,0.6018315085454204,0.8983050847457628,257541.57432000083,0.003398355196085001,-0.028110599078341014,0.5835456243785535,3750.0,2026-06-04T10:45:59+08:00,1780541159999,downtrend_continuation,0.028314028314028183,0.0009492168960607561,-0.028037354085603126,robust_downtrend_upper_break_1m,CLOUSDT,0
0.30861723446893535,0.8708423173408166,-0.01592683929305394,0.6507520379989542,0.847457627118644,97076.00346999975,0.008105263157894615,-0.011202312735532516,0.6193173146912627,1809.0,2026-06-08T12:36:59+08:00,1780893419999,downtrend_continuation,0.006317218335595731,0.046609474892082225,0.03647400881276743,robust_downtrend_upper_break_1m,CLOUSDT,1
0.34854771784232164,0.10581074212228979,5.150126178077308e-05,0.37920375529891004,0.6101694915254238,99987.4960499998,0.008727272727272695,-0.011102057445508295,0.4909120652991899,2608.0,2026-06-18T14:16:59+08:00,1781763419999,post_pump,0.01980300673924318,0.0004667807686322689,-0.014048759527341614,robust_post_pump_red_sell_1m,CLOUSDT,0
0.17582417582418092,0.09085928090553988,-0.002636680884063658,0.7642793996571146,0.423728813559322,366651.46772000036,0.002494348741133523,-0.009854492262683756,0.6777431511872958,1857.0,2026-06-08T08:50:59+08:00,1780879859999,post_pump,0.030168727159629816,0.023638968481375366,-0.028659560061286758,robust_post_pump_red_sell_1m,SIRENUSDT,0
0.06800000000000134,0.2887172227930177,-0.01444845790497351,0.5831075420918991,0.9830508474576272,964540.2945000016,0.004815864022662986,-0.053881034942651396,0.5870888523050704,4247.0,2026-06-13T10:32:59+08:00,1781317979999,downtrend_continuation,0.03636876233436692,0.010253489034462993,-0.028037354085603015,robust_downtrend_range_flush_1m,SIRENUSDT,0
0.03225806451613144,0.15631630831986945,-0.021917808219177992,0.6052728170203684,1.0,1428805.807279999,0.002105263157894832,-0.05367793240556662,0.566275713926631,4649.0,2026-06-13T16:33:59+08:00,1781339639999,downtrend_continuation,0.014005602240896309,0.03854545454545444,0.028481917289846195,robust_downtrend_range_flush_1m,SIRENUSDT,1
0.26356589147286297,0.22351954539489538,-0.01128392802683753,0.7328301972347601,0.1016949152542373,223333.80207000035,0.005271317829457223,-0.0076522803795531225,0.617174577705875,1624.0,2026-06-14T18:57:59+08:00,1781434679999,post_pump,0.01557680444170284,0.007771215418091337,-0.012987690432663101,robust_post_pump_red_sell_1m,ESPORTSUSDT,0
0.17460317460317504,0.8097617624415319,-0.07677356656948497,0.7494569060884385,0.9830508474576272,1209839.5062099993,0.02168847463703183,-0.08653846153846145,0.7134652578704722,6546.0,2026-06-15T02:24:59+08:00,1781461499999,post_pump,0.0052631578947368585,0.35681980480837905,0.26249787234042554,robust_post_pump_red_sell_1m,ESPORTSUSDT,1
0.11418685121107147,0.09221872089359608,-0.006162162162162144,0.5513418228366388,0.6949152542372882,1016106.2974199964,0.00360262008733625,-0.018366257341163927,0.5756187025265943,9103.0,2026-06-18T20:04:59+08:00,1781784299999,downtrend_continuation,0.030675513978026814,0.009000109757436148,-0.028037354085603126,robust_downtrend_upper_break_1m,ESPORTSUSDT,0
0.16981132075471686,0.09377107013110267,0.007801743919229054,0.4209107839977054,0.864406779661017,1004552.8530099997,0.008264462809917328,-0.02831858407079635,0.5797065066761642,6272.0,2026-06-19T05:46:59+08:00,1781819219999,downtrend_continuation,0.029711952823769705,0.010311640696608615,-0.028037354085603126,robust_downtrend_upper_break_1m,ESPORTSUSDT,0
0.25490196078431354,0.059079870343747135,-0.0007048872180449584,0.6864660907904058,0.2711864406779661,1997019.29648001,0.016572384670544116,-0.041073240389312704,0.6173754643849261,12092.0,2026-06-02T15:30:59+08:00,1780385459999,post_pump,0.001410768869033463,0.041551020408163275,0.010574895961317577,robust_post_pump_red_sell_1m,SKYAIUSDT,1
0.06633416458852853,0.2163136649324717,-0.016398819285011523,0.5512918013137237,0.847457627118644,3202263.3375299796,0.007446391579418732,-0.09377518130539886,0.5339556590429825,17718.0,2026-06-03T13:55:59+08:00,1780466159999,momentum_dump,0.0,0.19070937003705657,0.17812016835352132,robust_momentum_uptrend_dump_1m,SKYAIUSDT,1
