rows,symbols,precision,true_events,fake_events,median_future_drop_5m,median_future_drop_15m,median_future_drop_30m,median_adverse_5m,p80_adverse_5m,post_pump_share,downtrend_share,other_share,period,cutoff_sec,quantile,threshold,mode,auc,train_rows,validation_rows,train_pos_rate,validation_pos_rate,features,score_metric
1286,164,100.0,1286,0,2.545,5.052,6.877,0.867,1.605,54.821,2.955,31.26,train,10,0.85,0.9507382455993019,preclose_agg,0.9060930728599406,8569,5752,0.5481386392811296,0.5104311543810849,48,10.057874603798062
1286,161,100.0,1286,0,2.532,5.034,6.873,0.87,1.605,55.599,3.033,31.571,train,20,0.85,0.968797475704157,preclose_agg,0.9098780191154192,8569,5752,0.5481386392811296,0.5104311543810849,48,10.055714603798062
1286,158,100.0,1286,0,2.46,4.979,6.786,0.865,1.596,54.432,2.566,33.126,train,40,0.85,0.9953168136265258,preclose_agg,0.9173421755050261,8569,5752,0.5481386392811296,0.5104311543810849,48,10.049834603798065
1286,157,100.0,1286,0,2.496,4.986,6.807,0.897,1.612,54.666,2.955,33.126,train,50,0.85,0.9980652781322902,preclose_agg,0.9192869943361069,8569,5752,0.5481386392811296,0.5104311543810849,48,10.049394603798063
1286,161,100.0,1286,0,2.429,4.962,6.806,0.881,1.605,54.899,2.488,32.737,train,30,0.85,0.987502946671436,preclose_agg,0.9134251003365961,8569,5752,0.5481386392811296,0.5104311543810849,48,10.047074603798062
1286,162,100.0,1286,0,2.369,4.892,6.702,0.871,1.616,53.188,2.799,33.437,train,59,0.85,0.9994350872951752,preclose_agg,0.9213052181188273,8569,5752,0.5481386392811296,0.5104311543810849,48,10.037794603798064
857,152,100.0,857,0,3.03,5.451,7.236,1.014,1.72,61.844,2.567,29.755,train,10,0.9,0.987834829644435,preclose_agg,0.9060930728599406,8569,5752,0.5481386392811296,0.5104311543810849,48,9.893822049743981
857,150,100.0,857,0,2.977,5.363,7.214,0.957,1.692,61.144,2.45,31.039,train,20,0.9,0.9932470854582167,preclose_agg,0.9098780191154192,8569,5752,0.5481386392811296,0.5104311543810849,48,9.88550204974398
857,146,100.0,857,0,2.977,5.318,7.078,0.94,1.68,60.677,1.284,31.739,train,30,0.9,0.9973307361356993,preclose_agg,0.9134251003365961,8569,5752,0.5481386392811296,0.5104311543810849,48,9.881062049743981
857,142,100.0,857,0,2.92,5.235,6.98,0.929,1.654,59.277,1.634,32.672,train,40,0.9,0.9988316985491131,preclose_agg,0.9173421755050261,8569,5752,0.5481386392811296,0.5104311543810849,48,9.873182049743981
857,149,100.0,857,0,2.815,5.241,6.927,0.941,1.667,57.993,1.984,33.956,train,50,0.9,0.9993803593126075,preclose_agg,0.9192869943361069,8569,5752,0.5481386392811296,0.5104311543810849,48,9.872862049743981
857,148,100.0,857,0,2.79,5.238,6.949,0.988,1.686,57.06,1.75,35.006,train,59,0.9,0.9997691140118364,preclose_agg,0.9213052181188273,8569,5752,0.5481386392811296,0.5104311543810849,48,9.870982049743981
600,142,100.0,600,0,3.292,5.574,7.401,0.973,1.726,63.667,1.333,29.833,train,10,0.93,0.9958467938498515,preclose_agg,0.9060930728599406,8569,5752,0.5481386392811296,0.5104311543810849,48,9.730097467267603
600,136,100.0,600,0,3.187,5.503,7.25,0.962,1.692,64.167,0.833,29.333,train,30,0.93,0.9988669426759083,preclose_agg,0.9134251003365961,8569,5752,0.5481386392811296,0.5104311543810849,48,9.724297467267604
600,136,100.0,600,0,3.13,5.474,7.343,0.96,1.68,63.0,1.833,29.667,train,20,0.93,0.9970046721742944,preclose_agg,0.9098780191154192,8569,5752,0.5481386392811296,0.5104311543810849,48,9.721777467267604
600,134,100.0,600,0,3.116,5.395,7.113,0.974,1.682,60.667,1.0,32.167,train,40,0.93,0.9994475757492242,preclose_agg,0.9173421755050261,8569,5752,0.5481386392811296,0.5104311543810849,48,9.712137467267604
600,130,100.0,600,0,3.009,5.335,6.923,1.018,1.682,58.167,1.5,35.5,train,50,0.93,0.9996327937312061,preclose_agg,0.9192869943361069,8569,5752,0.5481386392811296,0.5104311543810849,48,9.704937467267605
600,142,100.0,600,0,2.983,5.351,7.135,1.036,1.721,59.167,1.333,34.333,train,59,0.93,0.999844093863585,preclose_agg,0.9213052181188273,8569,5752,0.5481386392811296,0.5104311543810849,48,9.703737467267604
429,123,100.0,429,0,3.361,5.691,7.474,0.871,1.666,65.035,0.932,30.07,train,30,0.95,0.9993657330341398,preclose_agg,0.9134251003365961,8569,5752,0.5481386392811296,0.5104311543810849,48,9.581532604343804
429,122,100.0,429,0,3.417,5.691,7.328,0.92,1.683,62.704,0.699,31.235,train,40,0.95,0.999649418151802,preclose_agg,0.9173421755050261,8569,5752,0.5481386392811296,0.5104311543810849,48,9.580172604343804
429,125,100.0,429,0,3.471,5.696,7.683,0.929,1.748,64.569,0.932,29.138,train,10,0.95,0.9976609716249311,preclose_agg,0.9060930728599406,8569,5752,0.5481386392811296,0.5104311543810849,48,9.575572604343803
429,121,100.0,429,0,3.208,5.607,7.561,0.961,1.73,65.967,0.932,29.138,train,20,0.95,0.9980890503772288,preclose_agg,0.9098780191154192,8569,5752,0.5481386392811296,0.5104311543810849,48,9.566332604343804
