symbol,rule,family,signal_time,entry_time,exit_time,entry,exit,ret,mae,mfe,hold_min,exit_reason,ret_30m,ret_2h,ret_4h,ret_12h,ret_24h,runup_24h,dd_from_24h_high,qv30,volr20,volr5_20,tsell,tsell5,body_drop,drop_2m,drop_5m,close_pos,upper_wick,lower_wick,range_pct,break_depth,red_streak,qv_over_prev6max,signal_time_iso,entry_time_iso,exit_time_iso
1000BONKUSDT,robust_downtrend_upper_break_1m,downtrend_continuation,1760130960000,1760131020000,1760131080000,0.012491,0.01154026,0.07531400208149866,0.005604034905131616,0.09320847190617898,2,trailing_stop,-0.2852871844995113,-0.28786663611365726,-0.30170767329513537,-0.34673393241893957,-0.34297040169133197,0.0,0.36560347027302886,84728773.533278,1.8388028517387078,1.8959549283193367,0.6390967098187503,0.6419566114576325,0.09691245913548857,0.14215720102132368,0.22817583509251205,0.0,0.0062477297493644035,0.0,0.10316018888485297,0.1048990427157912,7,0.7558587584697505,2025-10-10T21:16+00:00,2025-10-10T21:17+00:00,2025-10-10T21:18+00:00
1000FLOKIUSDT,robust_downtrend_range_flush_1m,downtrend_continuation,1760131020000,1760131080000,1760131200000,0.06083,0.0291587,0.5198526385007397,0.007890843333881348,1.1070315206096293,3,trailing_stop,-0.30170428374021185,-0.30418818129661507,-0.3112221717401181,-0.3516518764032931,-0.3507494646680942,0.014725568942436373,0.3659556670849018,26183024.956,2.4251716601433744,2.4779449858515696,0.6109216567531321,0.5971486280926321,0.08989944469458196,0.16022711535798362,0.23981446659145034,0.12290502793296086,0.004352393816599109,0.013207263995197342,0.10745910250637841,0.12087730870712399,8,0.9338224790692101,2025-10-10T21:17+00:00,2025-10-10T21:18+00:00,2025-10-10T21:20+00:00
1000FLOKIUSDT,robust_downtrend_upper_break_1m,downtrend_continuation,1760130960000,1760131020000,1760131080000,0.06663,0.060357600000000004,0.09333777577667704,0.004352393816599021,0.1149598393574296,2,trailing_stop,-0.21621309963099633,-0.21909466911764708,-0.22805224304372518,-0.27258133561643827,-0.2708646213258957,0.048919753086419826,0.2893140945211209,23810329.34004,2.7400820494531977,2.2812688637423877,0.5728952995740035,0.5934790900142453,0.059238754325259414,0.08752852731910321,0.16313715833538533,0.4002525252525255,0.006505190311418853,0.04387543252595164,0.10961937716262991,0.06238046196851532,7,0.971663352881567,2025-10-10T21:16+00:00,2025-10-10T21:17+00:00,2025-10-10T21:18+00:00
1000LUNCUSDT,robust_post_pump_red_sell_1m,post_pump,1764983520000,1764983580000,1764983760000,0.05622,0.0546713,0.026747136250444694,0.014229811454998353,0.038610751893589645,4,trailing_stop,-0.041943734015345346,-0.014901823281907478,-0.16234347048300546,0.3598741529525651,0.8550676791020138,0.859364659166115,0.2060194997880458,23496499.28954,3.5897444152526563,1.3636072123345915,0.6892089622074218,0.6107448693560784,0.024648498524561788,0.03304078471863714,0.029366039039557812,0.09999999999999781,0.005033848290227367,0.0032980385349764925,0.03298038534976565,0.025271400605090033,2,3.134116366046018,2025-12-06T01:12+00:00,2025-12-06T01:13+00:00,2025-12-06T01:16+00:00
1000LUNCUSDT,robust_downtrend_range_flush_1m,downtrend_continuation,1760131080000,1760131140000,1760131200000,0.02693,0.017513400000000002,0.3488695135536575,0.0,0.5530565167243366,2,trailing_stop,-0.4813278008298756,-0.48163507109004744,-0.48599960838065404,-0.5031232254400909,-0.5086110071134406,0.14329268292682906,0.517285766826039,6701256.09688,3.312420821283292,2.257016124773007,0.6359396976207383,0.5819071850752231,0.23625254582484723,0.3018617021276596,0.41432396251673365,0.2659660468876312,0.02793133546697709,0.09572301425661908,0.3599068955484434,0.30247619047619057,3,1.5794426832429547,2025-10-10T21:18+00:00,2025-10-10T21:19+00:00,2025-10-10T21:20+00:00
1000LUNCUSDT,robust_downtrend_upper_break_1m,downtrend_continuation,1760130840000,1760130900000,1760130900000,0.04147,0.04292145,-0.03579999999999992,0.04123462744152406,0.0,1,stop,-0.18190795970768325,-0.18142292490118583,-0.18784313725490198,-0.2162724692526018,-0.22492514970059885,0.018441111384312814,0.23832291283560136,4859788.76325,2.5097502052539884,1.2100204698793426,0.6274082170459254,0.6346303318861577,0.07503349709691831,0.10346320346320348,0.12301503281812409,0.17045454545454555,0.0064761054041982714,0.016748548459133556,0.09825815096025013,0.08208594881699671,5,1.5733307741603972,2025-10-10T21:14+00:00,2025-10-10T21:15+00:00,2025-10-10T21:15+00:00
1000PEPEUSDT,robust_downtrend_range_flush_1m,downtrend_continuation,1760130900000,1760130960000,1760131080000,0.0069408,0.004916579,0.290840877132319,0.0023772475795298398,0.42583044023090033,3,trailing_stop,-0.1938313722759869,-0.19399972156480572,-0.20921973706675767,-0.24997570955100445,-0.24415770921275937,0.00850656137498551,0.2600647552507136,244153259.04010662,2.5090036043406823,2.3852779364647216,0.6575301891942822,0.6879962792272759,0.0425962929787087,0.0744204636290966,0.14847771731136938,0.12454835281615433,0.01416660924688212,0.008075518500654678,0.0648384207262455,0.04364222586867039,6,0.8908697199892727,2025-10-10T21:15+00:00,2025-10-10T21:16+00:00,2025-10-10T21:18+00:00
1000PEPEUSDT,robust_downtrend_upper_break_1m,downtrend_continuation,1760130900000,1760130960000,1760131080000,0.0069408,0.004916579,0.290840877132319,0.0023772475795298398,0.42583044023090033,3,trailing_stop,-0.1938313722759869,-0.19399972156480572,-0.20921973706675767,-0.24997570955100445,-0.24415770921275937,0.00850656137498551,0.2600647552507136,244153259.04010662,2.5090036043406823,2.3852779364647216,0.6575301891942822,0.6879962792272759,0.0425962929787087,0.0744204636290966,0.14847771731136938,0.12454835281615433,0.01416660924688212,0.008075518500654678,0.0648384207262455,0.04364222586867039,6,0.8908697199892727,2025-10-10T21:15+00:00,2025-10-10T21:16+00:00,2025-10-10T21:18+00:00
1000RATSUSDT,robust_momentum_uptrend_dump_1m,momentum_dump,1776954660000,1776954720000,1776954720000,0.04348,0.045001799999999995,-0.03579999999999992,0.048758049678012894,0.0,1,stop,-0.04315279612505507,0.14821664464993378,0.18001629106706485,0.1998895637769187,0.1470044866719451,0.24171428571428555,0.10851282051282052,3517869.1066300003,2.6634016561806177,1.9630100842572933,0.6026850007966683,0.5575083791571407,0.034436791824039165,0.036363636363636376,0.082154171066526,0.03726708074534009,0.0,0.0013330371028659753,0.03576982892690514,0.03543488265071337,10,1.584209547219759,2026-04-23T14:31+00:00,2026-04-23T14:32+00:00,2026-04-23T14:32+00:00
1000SATSUSDT,robust_post_pump_red_sell_1m,post_pump,1776390060000,1776390120000,1776390240000,2.19e-05,2.2666499999999997e-05,-0.03579999999999992,0.041095890410958846,0.0,3,stop,-0.14117647058823524,0.1648936170212767,0.23728813559322037,0.17741935483870952,0.5869565217391304,0.5985401459854016,0.15444015444015435,11573740.1332356,4.219409219448215,1.386313691514386,0.700426886676042,0.6676454419725903,0.051948051948051896,0.06008583690987124,0.08368200836820083,0.07142857142857073,0.004329004329004435,0.004329004329004287,0.060606060606060615,0.0547945205479452,4,4.24971750378154,2026-04-17T01:41+00:00,2026-04-17T01:42+00:00,2026-04-17T01:44+00:00
1000SATSUSDT,robust_downtrend_upper_break_1m,downtrend_continuation,1760130960000,1760131020000,1760131080000,2e-05,1.717e-05,0.14070000000000008,0.03499999999999992,0.17647058823529416,2,trailing_stop,-0.42485549132947975,-0.41982507288629745,-0.42979942693409745,-0.45628415300546454,-0.45628415300546454,0.0,0.4735449735449735,8963505.6504439,2.0503791482220857,2.358600699342982,0.5491911048945861,0.6354863256288872,0.2134387351778656,0.22265625,0.3722397476340694,0.0,0.011857707509881445,0.0,0.22529644268774704,0.18090452261306522,2,0.5557302308045486,2025-10-10T21:16+00:00,2025-10-10T21:17+00:00,2025-10-10T21:18+00:00
