symbol,day,labels,event_count
JELLYJELLYUSDT,2025-10-04,core_trade,1
MYXUSDT,2025-10-04,core_trade,1
BLESSUSDT,2025-10-05,core_trade,1
EVAAUSDT,2025-10-05,core_trade,1
BLESSUSDT,2025-10-06,core_trade,1
MYXUSDT,2025-10-06,core_trade,1
PLUMEUSDT,2025-10-06,core_trade,1
SKYAIUSDT,2025-10-06,core_trade,1
SOONUSDT,2025-10-06,core_trade,1
STOUSDT,2025-10-06,core_trade,1
BLESSUSDT,2025-10-07,core_trade,1
SOONUSDT,2025-10-07,core_trade,1
VVVUSDT,2025-10-07,core_trade,1
COAIUSDT,2025-10-08,core_trade,1
COAIUSDT,2025-10-09,core_trade,1
1000BONKUSDT,2025-10-10,core_trade,1
1000FLOKIUSDT,2025-10-10,core_trade,1
1000LUNCUSDT,2025-10-10,core_trade,1
1000PEPEUSDT,2025-10-10,core_trade,1
1000SATSUSDT,2025-10-10,core_trade,1
1000SHIBUSDT,2025-10-10,core_trade,1
4USDT,2025-10-10,core_trade,1
AAVEUSDT,2025-10-10,core_trade,1
ACEUSDT,2025-10-10,core_trade,1
AGTUSDT,2025-10-10,core_trade,1
ALGOUSDT,2025-10-10,core_trade,1
ALICEUSDT,2025-10-10,core_trade,1
ANKRUSDT,2025-10-10,core_trade,1
APEUSDT,2025-10-10,core_trade,1
APTUSDT,2025-10-10,core_trade,1
ARBUSDT,2025-10-10,core_trade,1
ARKMUSDT,2025-10-10,core_trade,1
ASTERUSDT,2025-10-10,core_trade,1
ATOMUSDT,2025-10-10,core_trade,1
AVAXUSDT,2025-10-10,core_trade,1
AVNTUSDT,2025-10-10,core_trade,1
AXLUSDT,2025-10-10,core_trade,1
AXSUSDT,2025-10-10,core_trade,1
BASUSDT,2025-10-10,core_trade,1
BERAUSDT,2025-10-10,core_trade,1
BIGTIMEUSDT,2025-10-10,core_trade,1
BIOUSDT,2025-10-10,core_trade,1
BOMEUSDT,2025-10-10,core_trade,1
BUSDT,2025-10-10,core_trade,1
CAKEUSDT,2025-10-10,core_trade,1
CATIUSDT,2025-10-10,core_trade,1
CHZUSDT,2025-10-10,core_trade,1
COAIUSDT,2025-10-10,core_trade,1
COMPUSDT,2025-10-10,core_trade,1
DASHUSDT,2025-10-10,core_trade,1
DOTUSDT,2025-10-10,core_trade,1
DUSDT,2025-10-10,core_trade,1
DUSKUSDT,2025-10-10,core_trade,1
DYDXUSDT,2025-10-10,core_trade,1
